****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth        DO
      Step (FluxAvg)       (m)       (m)       (m)       (m)    (mg/L)
         1     1.019     0.077     0.002     0.001   -10.997     1.961
         2     1.039     0.078     0.004     0.003   -10.995     1.981
         3     1.060     0.080     0.007     0.004   -10.992     2.001
         4     1.080     0.081     0.009     0.005   -10.990     2.021
         5     1.101     0.083     0.011     0.007   -10.987     2.040
         6     1.123     0.085     0.014     0.008   -10.984     2.059
         7     1.145     0.086     0.016     0.009   -10.981     2.078
         8     1.167     0.088     0.019     0.011   -10.978     2.096
         9     1.190     0.090     0.022     0.012   -10.975     2.114
        10     1.213     0.091     0.024     0.014   -10.972     2.132
        11     1.237     0.093     0.027     0.015   -10.969     2.150
        12     1.261     0.095     0.030     0.017   -10.966     2.167
        13     1.286     0.097     0.032     0.019   -10.963     2.184
        14     1.311     0.099     0.035     0.020   -10.959     2.201
        15     1.337     0.101     0.038     0.022   -10.956     2.217
        16     1.363     0.103     0.041     0.024   -10.953     2.233
        17     1.390     0.105     0.044     0.025   -10.949     2.249
        18     1.417     0.107     0.047     0.027   -10.946     2.265
        19     1.445     0.109     0.050     0.029   -10.942     2.280
        20     1.474     0.111     0.054     0.031   -10.938     2.295
        21     1.503     0.113     0.057     0.033   -10.935     2.310
        22     1.532     0.116     0.060     0.035   -10.931     2.325
        23     1.562     0.118     0.064     0.036   -10.927     2.339
        24     1.593     0.120     0.067     0.038   -10.923     2.354
        25     1.624     0.122     0.071     0.040   -10.919     2.368
        26     1.656     0.125     0.074     0.043   -10.915     2.382
        27     1.689     0.127     0.078     0.045   -10.911     2.395
        28     1.722     0.130     0.082     0.047   -10.906     2.409
        29     1.756     0.132     0.085     0.049   -10.902     2.422
        30     1.791     0.135     0.089     0.051   -10.898     2.436
        31     1.826     0.138     0.093     0.053   -10.893     2.449
        32     1.862     0.140     0.097     0.056   -10.888     2.461
        33     1.899     0.143     0.101     0.058   -10.884     2.474
        34     1.937     0.146     0.106     0.060   -10.879     2.486
        35     1.975     0.149     0.110     0.063   -10.874     2.499
        36     2.014     0.152     0.114     0.065   -10.869     2.511
        37     2.054     0.155     0.119     0.068   -10.864     2.523
        38     2.094     0.158     0.123     0.070   -10.859     2.535
        39     2.136     0.161     0.128     0.073   -10.854     2.547
        40     2.178     0.164     0.133     0.076   -10.848     2.558
        41     2.221     0.167     0.138     0.078   -10.843     2.570
        42     2.265     0.171     0.142     0.081   -10.837     2.581
        43     2.310     0.174     0.148     0.084   -10.831     2.593
        44     2.355     0.177     0.153     0.087   -10.826     2.604
        45     2.402     0.181     0.158     0.090   -10.820     2.615
        46     2.450     0.184     0.163     0.093   -10.814     2.626
        47     2.498     0.188     0.169     0.096   -10.808     2.637
        48     2.548     0.192     0.174     0.099   -10.801     2.648
        49     2.598     0.195     0.180     0.102   -10.795     2.658
        50     2.650     0.199     0.185     0.105   -10.789     2.669
        51     2.702     0.203     0.191     0.109   -10.782     2.679
        52     2.756     0.207     0.197     0.112   -10.775     2.690
        53     2.810     0.211     0.203     0.115   -10.768     2.700
        54     2.866     0.215     0.209     0.119   -10.761     2.710
        55     2.923     0.220     0.216     0.122   -10.754     2.721
        56     2.981     0.224     0.222     0.126   -10.747     2.731
        57     3.040     0.228     0.229     0.129   -10.740     2.741
        58     3.100     0.233     0.235     0.133   -10.732     2.751
        59     3.162     0.237     0.242     0.137   -10.725     2.761
        60     3.225     0.242     0.249     0.141   -10.717     2.771
        61     3.289     0.247     0.256     0.145   -10.709     2.781
        62     3.354     0.251     0.263     0.148   -10.701     2.791
        63     3.421     0.256     0.271     0.153   -10.693     2.800
        64     3.489     0.261     0.278     0.157   -10.684     2.810
        65     3.558     0.266     0.286     0.161   -10.676     2.820
        66     3.629     0.272     0.294     0.165   -10.667     2.830
        67     3.701     0.277     0.302     0.169   -10.658     2.839
        68     3.774     0.282     0.310     0.174   -10.649     2.849
        69     3.849     0.288     0.318     0.178   -10.640     2.859
        70     3.926     0.293     0.326     0.183   -10.631     2.868
        71     4.004     0.299     0.335     0.187   -10.621     2.878
        72     4.083     0.305     0.343     0.192   -10.612     2.888
        73     4.164     0.311     0.352     0.197   -10.602     2.897
        74     4.247     0.317     0.361     0.202   -10.592     2.907
        75     4.332     0.323     0.370     0.207   -10.582     2.916
        76     4.418     0.329     0.380     0.212   -10.571     2.926
        77     4.506     0.335     0.389     0.217   -10.561     2.936
        78     4.595     0.342     0.399     0.222   -10.550     2.945
        79     4.687     0.349     0.409     0.227   -10.539     2.955
        80     4.780     0.355     0.419     0.233   -10.528     2.965
        81     4.875     0.362     0.429     0.238   -10.517     2.975
        82     4.972     0.369     0.440     0.244   -10.505     2.984
        83     5.071     0.376     0.450     0.249   -10.493     2.994
        84     5.172     0.383     0.461     0.255   -10.481     3.004
        85     5.275     0.391     0.472     0.261   -10.469     3.014
        86     5.380     0.398     0.483     0.267   -10.457     3.024
        87     5.487     0.406     0.495     0.273   -10.444     3.034
        88     5.597     0.414     0.506     0.279   -10.431     3.044
