****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth        DO
      Step (FluxAvg)       (m)       (m)       (m)       (m)    (mg/L)
         1     1.019     0.077     0.002     0.001   -10.997     0.000
         2     1.039     0.078     0.004     0.003   -10.995    -1.745
         3     1.060     0.080     0.007     0.004   -10.992    -3.456
         4     1.080     0.081     0.009     0.005   -10.990    -5.133
         5     1.101     0.083     0.011     0.007   -10.987    -6.778
         6     1.123     0.085     0.014     0.008   -10.984    -8.390
         7     1.145     0.086     0.016     0.009   -10.981    -9.971
         8     1.167     0.088     0.019     0.011   -10.978   -11.521
         9     1.190     0.090     0.022     0.012   -10.975   -13.041
        10     1.213     0.091     0.024     0.014   -10.972   -14.531
        11     1.237     0.093     0.027     0.015   -10.969   -15.991
        12     1.261     0.095     0.030     0.017   -10.966   -17.423
        13     1.286     0.097     0.032     0.019   -10.963   -18.827
        14     1.311     0.099     0.035     0.020   -10.959   -20.204
        15     1.337     0.101     0.038     0.022   -10.956   -21.554
        16     1.363     0.103     0.041     0.024   -10.953   -22.877
        17     1.390     0.105     0.044     0.025   -10.949   -24.174
        18     1.417     0.107     0.047     0.027   -10.946   -25.446
        19     1.445     0.109     0.050     0.029   -10.942   -26.694
        20     1.474     0.111     0.054     0.031   -10.938   -27.916
        21     1.503     0.113     0.057     0.033   -10.935   -29.115
        22     1.532     0.116     0.060     0.035   -10.931   -30.291
        23     1.562     0.118     0.064     0.036   -10.927   -31.443
        24     1.593     0.120     0.067     0.038   -10.923   -32.573
        25     1.624     0.122     0.071     0.040   -10.919   -33.681
        26     1.656     0.125     0.074     0.043   -10.915   -34.767
        27     1.689     0.127     0.078     0.045   -10.911   -35.832
        28     1.722     0.130     0.082     0.047   -10.906   -36.876
        29     1.756     0.132     0.085     0.049   -10.902   -37.900
        30     1.791     0.135     0.089     0.051   -10.898   -38.904
        31     1.826     0.138     0.093     0.053   -10.893   -39.888
        32     1.862     0.140     0.097     0.056   -10.888   -40.853
        33     1.899     0.143     0.101     0.058   -10.884   -41.799
        34     1.937     0.146     0.106     0.060   -10.879   -42.727
        35     1.975     0.149     0.110     0.063   -10.874   -43.636
        36     2.014     0.152     0.114     0.065   -10.869   -44.528
        37     2.054     0.155     0.119     0.068   -10.864   -45.403
        38     2.094     0.158     0.123     0.070   -10.859   -46.260
        39     2.136     0.161     0.128     0.073   -10.854   -47.101
        40     2.178     0.164     0.133     0.076   -10.848   -47.925
        41     2.221     0.167     0.138     0.078   -10.843   -48.733
        42     2.265     0.171     0.142     0.081   -10.837   -49.526
        43     2.310     0.174     0.148     0.084   -10.831   -50.303
        44     2.355     0.177     0.153     0.087   -10.826   -51.065
        45     2.402     0.181     0.158     0.090   -10.820   -51.812
        46     2.450     0.184     0.163     0.093   -10.814   -52.545
        47     2.498     0.188     0.169     0.096   -10.808   -53.263
        48     2.548     0.192     0.174     0.099   -10.801   -53.967
        49     2.598     0.195     0.180     0.102   -10.795   -54.658
        50     2.650     0.199     0.185     0.105   -10.789   -55.335
        51     2.702     0.203     0.191     0.109   -10.782   -55.999
        52     2.756     0.207     0.197     0.112   -10.775   -56.651
        53     2.810     0.211     0.203     0.115   -10.768   -57.289
        54     2.866     0.215     0.209     0.119   -10.761   -57.915
        55     2.923     0.220     0.216     0.122   -10.754   -58.529
        56     2.981     0.224     0.222     0.126   -10.747   -59.132
        57     3.040     0.228     0.229     0.129   -10.740   -59.722
        58     3.100     0.233     0.235     0.133   -10.732   -60.301
        59     3.162     0.237     0.242     0.137   -10.725   -60.869
        60     3.225     0.242     0.249     0.141   -10.717   -61.426
        61     3.289     0.247     0.256     0.145   -10.709   -61.972
        62     3.354     0.251     0.263     0.148   -10.701   -62.507
        63     3.421     0.256     0.271     0.153   -10.693   -63.033
        64     3.489     0.261     0.278     0.157   -10.684   -63.548
        65     3.558     0.266     0.286     0.161   -10.676   -64.053
        66     3.629     0.272     0.294     0.165   -10.667   -64.548
        67     3.701     0.277     0.302     0.169   -10.658   -65.034
        68     3.774     0.282     0.310     0.174   -10.649   -65.510
        69     3.849     0.288     0.318     0.178   -10.640   -65.978
        70     3.926     0.293     0.326     0.183   -10.631   -66.436
        71     4.004     0.299     0.335     0.187   -10.621   -66.885
        72     4.083     0.305     0.343     0.192   -10.612   -67.326
        73     4.164     0.311     0.352     0.197   -10.602   -67.759
        74     4.247     0.317     0.361     0.202   -10.592   -68.183
        75     4.332     0.323     0.370     0.207   -10.582   -68.599
        76     4.418     0.329     0.380     0.212   -10.571   -69.007
        77     4.506     0.335     0.389     0.217   -10.561   -69.407
        78     4.595     0.342     0.399     0.222   -10.550   -69.800
        79     4.687     0.349     0.409     0.227   -10.539   -70.185
        80     4.780     0.355     0.419     0.233   -10.528   -70.562
        81     4.875     0.362     0.429     0.238   -10.517   -70.933
        82     4.972     0.369     0.440     0.244   -10.505   -71.296
        83     5.071     0.376     0.450     0.249   -10.493   -71.653
        84     5.172     0.383     0.461     0.255   -10.481   -72.003
        85     5.275     0.391     0.472     0.261   -10.469   -72.346
        86     5.380     0.398     0.483     0.267   -10.457   -72.683
        87     5.487     0.406     0.495     0.273   -10.444   -73.013
        88     5.597     0.414     0.506     0.279   -10.431   -73.337
        89     5.708     0.422     0.518     0.285   -10.418   -73.655
        90     5.822     0.430     0.530     0.292   -10.405   -73.967
        91     5.938     0.438     0.542     0.298   -10.392   -74.274
        92     6.056     0.446     0.555     0.305   -10.378   -74.574
        93     6.177     0.455     0.567     0.311   -10.364   -74.869
        94     6.300     0.463     0.580     0.318   -10.350   -75.158
        95     6.425     0.472     0.594     0.325   -10.335   -75.442
        96     6.553     0.481     0.607     0.332   -10.320   -75.720
        97     6.684     0.490     0.620     0.339   -10.305   -75.994
        98     6.817     0.499     0.634     0.346   -10.290   -76.262
        99     6.953     0.509     0.648     0.353   -10.275   -76.526
       100     7.092     0.518     0.663     0.360   -10.259   -76.784
       101     7.233     0.528     0.677     0.368   -10.243   -77.038
       102     7.377     0.538     0.692     0.375   -10.226   -77.287
       103     7.524     0.548     0.707     0.383   -10.210   -77.532
       104     7.674     0.558     0.723     0.391   -10.193   -77.772
       105     7.827     0.569     0.738     0.399   -10.176   -78.007
       106     7.983     0.579     0.754     0.407   -10.158   -78.239
       107     8.143     0.590     0.770     0.415   -10.140   -78.466
       108     8.305     0.601     0.787     0.423   -10.122   -78.689
       109     8.471     0.612     0.803     0.432   -10.104   -78.908
       110     8.640     0.624     0.820     0.440   -10.085   -79.123
       111     8.812     0.635     0.838     0.449   -10.066   -79.334
       112     8.988     0.647     0.855     0.457   -10.047   -79.542
       113     9.167     0.659     0.873     0.466   -10.027   -79.745
       114     9.350     0.671     0.891     0.475   -10.007   -79.946
       115     9.536     0.683     0.910     0.484    -9.987   -80.142
       116     9.727     0.696     0.928     0.493    -9.966   -80.335
       117     9.921     0.708     0.948     0.502    -9.945   -80.525
       118    10.119     0.721     0.967     0.512    -9.923   -80.711
       119    10.321     0.734     0.987     0.521    -9.902   -80.894
