****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth        DO
      Step (FluxAvg)       (m)       (m)       (m)       (m)    (mg/L)
         1     1.019     0.077     0.002     0.001   -10.997     1.902
         2     1.039     0.078     0.004     0.003   -10.995     1.963
         3     1.060     0.080     0.007     0.004   -10.992     2.022
         4     1.080     0.081     0.009     0.005   -10.990     2.081
         5     1.101     0.083     0.011     0.007   -10.987     2.138
         6     1.123     0.085     0.014     0.008   -10.984     2.194
         7     1.145     0.086     0.016     0.009   -10.981     2.249
         8     1.167     0.088     0.019     0.011   -10.978     2.303
         9     1.190     0.090     0.022     0.012   -10.975     2.356
        10     1.213     0.091     0.024     0.014   -10.972     2.408
        11     1.237     0.093     0.027     0.015   -10.969     2.459
        12     1.261     0.095     0.030     0.017   -10.966     2.508
        13     1.286     0.097     0.032     0.019   -10.963     2.557
        14     1.311     0.099     0.035     0.020   -10.959     2.605
        15     1.337     0.101     0.038     0.022   -10.956     2.652
        16     1.363     0.103     0.041     0.024   -10.953     2.698
        17     1.390     0.105     0.044     0.025   -10.949     2.743
        18     1.417     0.107     0.047     0.027   -10.946     2.787
        19     1.445     0.109     0.050     0.029   -10.942     2.831
        20     1.474     0.111     0.054     0.031   -10.938     2.873
        21     1.503     0.113     0.057     0.033   -10.935     2.915
        22     1.532     0.116     0.060     0.035   -10.931     2.956
        23     1.562     0.118     0.064     0.036   -10.927     2.996
        24     1.593     0.120     0.067     0.038   -10.923     3.035
        25     1.624     0.122     0.071     0.040   -10.919     3.074
        26     1.656     0.125     0.074     0.043   -10.915     3.112
        27     1.689     0.127     0.078     0.045   -10.911     3.149
        28     1.722     0.130     0.082     0.047   -10.906     3.185
        29     1.756     0.132     0.085     0.049   -10.902     3.221
        30     1.791     0.135     0.089     0.051   -10.898     3.255
        31     1.826     0.138     0.093     0.053   -10.893     3.290
        32     1.862     0.140     0.097     0.056   -10.888     3.323
        33     1.899     0.143     0.101     0.058   -10.884     3.356
        34     1.937     0.146     0.106     0.060   -10.879     3.388
        35     1.975     0.149     0.110     0.063   -10.874     3.420
        36     2.014     0.152     0.114     0.065   -10.869     3.451
        37     2.054     0.155     0.119     0.068   -10.864     3.481
        38     2.094     0.158     0.123     0.070   -10.859     3.511
        39     2.136     0.161     0.128     0.073   -10.854     3.540
        40     2.178     0.164     0.133     0.076   -10.848     3.569
        41     2.221     0.167     0.138     0.078   -10.843     3.597
        42     2.265     0.171     0.142     0.081   -10.837     3.624
        43     2.310     0.174     0.148     0.084   -10.831     3.651
        44     2.355     0.177     0.153     0.087   -10.826     3.678
        45     2.402     0.181     0.158     0.090   -10.820     3.704
        46     2.450     0.184     0.163     0.093   -10.814     3.729
        47     2.498     0.188     0.169     0.096   -10.808     3.754
        48     2.548     0.192     0.174     0.099   -10.801     3.779
        49     2.598     0.195     0.180     0.102   -10.795     3.802
        50     2.650     0.199     0.185     0.105   -10.789     3.826
        51     2.702     0.203     0.191     0.109   -10.782     3.849
