****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth
      Step (FluxAvg)       (m)       (m)       (m)       (m)
        40     2.178     0.164     0.133     0.076   -10.848
        41     2.221     0.167     0.138     0.078   -10.843
        42     2.265     0.171     0.142     0.081   -10.837
        43     2.310     0.174     0.148     0.084   -10.831
        44     2.355     0.177     0.153     0.087   -10.826
        45     2.402     0.181     0.158     0.090   -10.820
        46     2.450     0.184     0.163     0.093   -10.814
        47     2.498     0.188     0.169     0.096   -10.808
        48     2.548     0.192     0.174     0.099   -10.801
        49     2.598     0.195     0.180     0.102   -10.795
        50     2.650     0.199     0.185     0.105   -10.789
        51     2.702     0.203     0.191     0.109   -10.782
        52     2.756     0.207     0.197     0.112   -10.775
        53     2.810     0.211     0.203     0.115   -10.768
        54     2.866     0.215     0.209     0.119   -10.761
        55     2.923     0.220     0.216     0.122   -10.754
        56     2.981     0.224     0.222     0.126   -10.747
        57     3.040     0.228     0.229     0.129   -10.740
        58     3.100     0.233     0.235     0.133   -10.732
        59     3.162     0.237     0.242     0.137   -10.725
        60     3.225     0.242     0.249     0.141   -10.717
        61     3.289     0.247     0.256     0.145   -10.709
        62     3.354     0.251     0.263     0.148   -10.701
        63     3.421     0.256     0.271     0.153   -10.693
        64     3.489     0.261     0.278     0.157   -10.684
        65     3.558     0.266     0.286     0.161   -10.676
        66     3.629     0.272     0.294     0.165   -10.667
        67     3.701     0.277     0.302     0.169   -10.658
        68     3.774     0.282     0.310     0.174   -10.649
        69     3.849     0.288     0.318     0.178   -10.640
        70     3.926     0.293     0.326     0.183   -10.631
        71     4.004     0.299     0.335     0.187   -10.621
        72     4.083     0.305     0.343     0.192   -10.612
        73     4.164     0.311     0.352     0.197   -10.602
        74     4.247     0.317     0.361     0.202   -10.592
        75     4.332     0.323     0.370     0.207   -10.582
        76     4.418     0.329     0.380     0.212   -10.571
        77     4.506     0.335     0.389     0.217   -10.561
        78     4.595     0.342     0.399     0.222   -10.550
        79     4.687     0.349     0.409     0.227   -10.539
        80     4.780     0.355     0.419     0.233   -10.528
        81     4.875     0.362     0.429     0.238   -10.517
        82     4.972     0.369     0.440     0.244   -10.505
        83     5.071     0.376     0.450     0.249   -10.493
        84     5.172     0.383     0.461     0.255   -10.481
        85     5.275     0.391     0.472     0.261   -10.469
        86     5.380     0.398     0.483     0.267   -10.457
        87     5.487     0.406     0.495     0.273   -10.444
        88     5.597     0.414     0.506     0.279   -10.431
        89     5.708     0.422     0.518     0.285   -10.418
        90     5.822     0.430     0.530     0.292   -10.405
        91     5.938     0.438     0.542     0.298   -10.392
        92     6.056     0.446     0.555     0.305   -10.378
        93     6.177     0.455     0.567     0.311   -10.364
        94     6.300     0.463     0.580     0.318   -10.350
        95     6.425     0.472     0.594     0.325   -10.335
        96     6.553     0.481     0.607     0.332   -10.320
        97     6.684     0.490     0.620     0.339   -10.305
        98     6.817     0.499     0.634     0.346   -10.290
        99     6.953     0.509     0.648     0.353   -10.275
       100     7.092     0.518     0.663     0.360   -10.259
       101     7.233     0.528     0.677     0.368   -10.243
       102     7.377     0.538     0.692     0.375   -10.226
       103     7.524     0.548     0.707     0.383   -10.210
       104     7.674     0.558     0.723     0.391   -10.193
       105     7.827     0.569     0.738     0.399   -10.176
       106     7.983     0.579     0.754     0.407   -10.158
       107     8.143     0.590     0.770     0.415   -10.140
       108     8.305     0.601     0.787     0.423   -10.122
       109     8.471     0.612     0.803     0.432   -10.104
       110     8.640     0.624     0.820     0.440   -10.085
       111     8.812     0.635     0.838     0.449   -10.066
       112     8.988     0.647     0.855     0.457   -10.047
       113     9.167     0.659     0.873     0.466   -10.027
       114     9.350     0.671     0.891     0.475   -10.007
       115     9.536     0.683     0.910     0.484    -9.987
       116     9.727     0.696     0.928     0.493    -9.966
       117     9.921     0.708     0.948     0.502    -9.945
       118    10.119     0.721     0.967     0.512    -9.923
       119    10.321     0.734     0.987     0.521    -9.902
       120    10.527     0.747     1.007     0.531    -9.879
       121    10.737     0.761     1.027     0.541    -9.857
       122    10.951     0.775     1.047     0.550    -9.834
       123    11.169     0.789     1.068     0.560    -9.811
       124    11.392     0.803     1.090     0.571    -9.787
       125    11.620     0.817     1.111     0.581    -9.763
       126    11.852     0.832     1.133     0.591    -9.738
       127    12.088     0.846     1.156     0.601    -9.713
       128    12.330     0.861     1.178     0.612    -9.688
       129    12.576     0.877     1.201     0.623    -9.662
       130    12.827     0.892     1.225     0.633    -9.636
       131    13.083     0.908     1.248     0.644    -9.609
       132    13.344     0.923     1.272     0.655    -9.582
       133    13.610     0.940     1.297     0.666    -9.555
       134    13.882     0.956     1.321     0.678    -9.527
       135    14.159     0.972     1.346     0.689    -9.499
       136    14.442     0.989     1.372     0.700    -9.470
       137    14.730     1.006     1.397     0.712    -9.441
       138    15.025     1.024     1.423     0.723    -9.411
       139    15.325     1.041     1.450     0.735    -9.381
       140    15.631     1.059     1.476     0.747    -9.351
       141    15.943     1.077     1.503     0.758    -9.320
       142    16.261     1.095     1.530     0.770    -9.289
       143    16.586     1.114     1.558     0.782    -9.257
       144    16.917     1.132     1.586     0.794    -9.225
       145    17.255     1.151     1.614     0.806    -9.192
       146    17.600     1.170     1.642     0.818    -9.160
       147    17.951     1.190     1.671     0.830    -9.126
       148    18.310     1.210     1.700     0.843    -9.092
       149    18.676     1.230     1.729     0.855    -9.058
       150    19.049     1.250     1.758     0.867    -9.024
       151    19.429     1.270     1.788     0.880    -8.989
       152    19.817     1.291     1.818     0.892    -8.953
       153    20.213     1.312     1.849     0.904    -8.917
       154    20.617     1.334     1.879     0.917    -8.881
       155    21.029     1.355     1.910     0.929    -8.844
       156    21.449     1.377     1.942     0.942    -8.807
       157    21.877     1.399     1.973     0.954    -8.769
       158    22.315     1.422     2.005     0.967    -8.731
       159    22.760     1.444     2.037     0.979    -8.693
       160    23.215     1.467     2.069     0.992    -8.654
       161    23.679     1.490     2.102     1.005    -8.615
       162    24.152     1.514     2.135     1.017    -8.575
       163    24.635     1.538     2.168     1.030    -8.535
       164    25.127     1.562     2.201     1.042    -8.494
       165    25.629     1.586     2.235     1.055    -8.453
       166    26.141     1.611     2.269     1.068    -8.411
       167    26.663     1.636     2.303     1.080    -8.369
       168    27.196     1.661     2.337     1.093    -8.327
       169    27.740     1.687     2.372     1.106    -8.284
       170    28.294     1.713     2.407     1.118    -8.241
       171    28.859     1.739     2.442     1.131    -8.197
       172    29.436     1.765     2.478     1.144    -8.153
       173    30.024     1.792     2.513     1.156    -8.108
       174    30.624     1.819     2.549     1.169    -8.063
       175    31.236     1.847     2.586     1.181    -8.017
       176    31.861     1.874     2.622     1.194    -7.971
       177    32.497     1.902     2.659     1.206    -7.925
       178    33.147     1.931     2.696     1.219    -7.878
       179    33.809     1.959     2.733     1.231    -7.830
       180    34.485     1.988     2.771     1.244    -7.782
       181    35.174     2.018     2.809     1.256    -7.734
       182    35.877     2.048     2.847     1.269    -7.685
       183    36.594     2.078     2.885     1.281    -7.636
       184    37.326     2.108     2.924     1.294    -7.586
       185    38.072     2.139     2.963     1.306    -7.536
       186    38.833     2.170     3.002     1.318    -7.485
       187    39.609     2.201     3.042     1.330    -7.434
       188    40.401     2.233     3.082     1.343    -7.383
       189    41.208     2.265     3.122     1.355    -7.330
       190    42.032     2.298     3.162     1.367    -7.278
       191    42.872     2.331     3.203     1.379    -7.225
       192    43.729     2.364     3.244     1.391    -7.171
       193    44.603     2.398     3.285     1.403    -7.117
       194    45.495     2.432     3.327     1.415    -7.063
       195    46.404     2.466     3.369     1.427    -7.008
       196    47.332     2.501     3.411     1.439    -6.953
       197    48.278     2.536     3.453     1.451    -6.897
       198    49.243     2.572     3.496     1.462    -6.840
       199    50.228     2.607     3.539     1.474    -6.783
       200    51.232     2.644     3.583     1.486    -6.726
       201    52.256     2.681     3.626     1.498    -6.668
       202    53.301     2.718     3.670     1.509    -6.610
       203    54.366     2.755     3.715     1.521    -6.551
       204    55.453     2.794     3.759     1.532    -6.492
       205    56.562     2.832     3.805     1.544    -6.432
       206    57.692     2.871     3.850     1.555    -6.372
       207    58.846     2.910     3.896     1.566    -6.311
       208    60.022     2.950     3.942     1.578    -6.250
       209    61.222     2.990     3.988     1.589    -6.188
       210    62.446     3.031     4.035     1.600    -6.126
       211    63.695     3.072     4.082     1.611    -6.063
       212    64.968     3.114     4.130     1.622    -6.000
       213    66.267     3.156     4.178     1.633    -5.936
       214    67.592     3.198     4.226     1.644    -5.872
       215    68.943     3.241     4.275     1.655    -5.807
       216    70.322     3.285     4.324     1.666    -5.742
       217    71.728     3.329     4.374     1.676    -5.676
       218    73.162     3.373     4.423     1.687    -5.610
       219    74.625     3.418     4.474     1.698    -5.543
       220    76.117     3.463     4.525     1.708    -5.475
       221    77.638     3.509     4.576     1.719    -5.408
       222    79.191     3.556     4.627     1.729    -5.339
       223    80.774     3.603     4.679     1.740    -5.271
       224    82.389     3.650     4.732     1.750    -5.201
       225    84.036     3.698     4.785     1.760    -5.132
       226    85.717     3.747     4.838     1.770    -5.061
       227    87.431     3.796     4.892     1.781    -4.990
       228    89.179     3.846     4.947     1.791    -4.919
       229    90.962     3.896     5.001     1.801    -4.847
       230    92.781     3.947     5.057     1.811    -4.775
       231    94.636     3.998     5.113     1.821    -4.702
       232    96.528     4.050     5.169     1.830    -4.629
       233    98.458     4.102     5.226     1.840    -4.555
       234   100.427     4.155     5.283     1.850    -4.480
       235   102.435     4.209     5.341     1.860    -4.406
       236   104.483     4.263     5.399     1.869    -4.330
       237   106.572     4.318     5.458     1.879    -4.254
       238   108.703     4.373     5.518     1.888    -4.178
       239   110.877     4.429     5.578     1.898    -4.101
       240   113.094     4.486     5.639     1.907    -4.024
       241   115.355     4.543     5.700     1.916    -3.946
       242   117.662     4.601     5.762     1.925    -3.867
       243   120.015     4.660     5.824     1.934    -3.789
       244   122.415     4.720     5.886     1.943    -3.710
       245   124.863     4.784     5.949     1.952    -3.632
       246   127.360     4.850     6.012     1.961    -3.555
       247   129.907     4.920     6.074     1.970    -3.479
       248   132.505     4.993     6.137     1.978    -3.404
       249   135.155     5.069     6.199     1.986    -3.330
       250   137.648     5.144     6.256     1.994    -3.263
---------------------------- Plume traps -----------------------------
       251   139.931     5.216     6.307     2.000    -3.205
       252   142.017     5.283     6.352     2.006    -3.154
       253   143.952     5.346     6.393     2.011    -3.108
       254   145.770     5.405     6.431     2.016    -3.067
       255   147.499     5.462     6.466     2.020    -3.029
       256   149.157     5.517     6.500     2.024    -2.993
       257   150.757     5.571     6.532     2.028    -2.960
------------------------- merging happened ---------------------------
       258   152.306     5.623     6.562     2.031    -2.928
       259   153.668     5.672     6.591     2.035    -2.899
       260   155.017     5.722     6.621     2.038    -2.869
       261   156.331     5.774     6.651     2.042    -2.839
       262   157.626     5.828     6.680     2.045    -2.811
       263   158.845     5.881     6.708     2.048    -2.784
       264   160.015     5.935     6.736     2.051    -2.758
       265   161.123     5.987     6.763     2.055    -2.732
       266   162.186     6.039     6.790     2.058    -2.707
       267   163.197     6.091     6.816     2.060    -2.683
       268   164.164     6.142     6.843     2.063    -2.659
       269   165.084     6.193     6.869     2.066    -2.637
       270   165.961     6.243     6.894     2.069    -2.614
       271   166.796     6.292     6.920     2.072    -2.593
       272   167.592     6.340     6.945     2.074    -2.571
       273   168.349     6.388     6.969     2.077    -2.551
       274   169.069     6.435     6.993     2.080    -2.531
---------------------------- Plume surfaces --------------------------
       275   169.754     6.481     7.017     2.082    -2.512
-------------------- Starting Farfield Calculations --------------------
Farfield dispersion based on wastefield width of :      96.29 (m)
4/3 Power Law based Eddy Diffusivity is used:
  Dilution     Width  Distance      Time
        ()       (m)       (m)    (hrs.)
   169.754    97.242     7.320     0.016
   169.754    97.473     8.000     0.020
   169.754    97.813     9.000     0.026
   169.754    98.153    10.000     0.031
   169.754    98.494    11.000     0.037
   169.754    98.836    12.000     0.043
   169.754    99.172    13.000     0.048
   169.754    99.510    14.000     0.054
   169.754    99.847    15.000     0.060
   169.754   100.185    16.000     0.065
   169.754   100.523    17.000     0.071
   169.754   100.860    18.000     0.076
   169.754   101.197    19.000     0.082
   169.754   101.535    20.000     0.088
   169.754   101.873    21.000     0.093
   169.755   102.211    22.000     0.099
   169.755   102.549    23.000     0.104
   169.755   102.888    24.000     0.110
   169.756   103.227    25.000     0.115
   169.756   103.566    26.000     0.121
   169.758   103.905    27.000     0.127
   169.759   104.245    28.000     0.132
   169.762   104.585    29.000     0.138
   169.765   104.925    30.000     0.143
   169.769   105.266    31.000     0.149
   169.775   105.606    32.000     0.154
   169.782   105.948    33.000     0.160
   169.790   106.289    34.000     0.166
   169.801   106.631    35.000     0.171
   169.813   106.973    36.000     0.177
   169.828   107.315    37.000     0.182
   169.845   107.658    38.000     0.188
   169.865   108.001    39.000     0.193
   169.888   108.345    40.000     0.199
   169.914   108.688    41.000     0.205
   169.943   109.032    42.000     0.210
   169.976   109.377    43.000     0.216
   170.013   109.721    44.000     0.221
   170.054   110.067    45.000     0.227
   170.099   110.412    46.000     0.232
   170.148   110.757    47.000     0.238
   170.201   111.103    48.000     0.243
   170.259   111.450    49.000     0.249
   170.321   111.796    50.000     0.255
   170.388   112.143    51.000     0.260
   170.460   112.491    52.000     0.266
   170.536   112.838    53.000     0.271
   170.618   113.186    54.000     0.277
   170.704   113.534    55.000     0.282
   170.795   113.883    56.000     0.288
   170.892   114.231    57.000     0.293
   170.993   114.581    58.000     0.299
   171.100   114.930    59.000     0.304
   171.212   115.280    60.000     0.310
   171.329   115.630    61.000     0.316
   171.450   115.980    62.000     0.321
   171.577   116.331    63.000     0.327
   171.710   116.682    64.000     0.332
   171.847   117.034    65.000     0.338
   171.989   117.385    66.000     0.343
   172.136   117.737    67.000     0.349
   172.288   118.090    68.000     0.354
   172.445   118.442    69.000     0.360
   172.607   118.795    70.000     0.365
   172.774   119.148    71.000     0.371
   172.946   119.502    72.000     0.377
   173.122   119.856    73.000     0.382
   173.303   120.210    74.000     0.388
   173.489   120.565    75.000     0.393
   173.680   120.920    76.000     0.399
   173.875   121.275    77.000     0.404
   174.074   121.630    78.000     0.410
   174.278   121.986    79.000     0.415
   174.487   122.342    80.000     0.421
   174.700   122.699    81.000     0.426
   174.917   123.055    82.000     0.432
   175.138   123.412    83.000     0.437
   175.363   123.770    84.000     0.443
   175.593   124.128    85.000     0.449
   175.827   124.486    86.000     0.454
   176.064   124.844    87.000     0.460
   176.306   125.203    88.000     0.465
   176.551   125.562    89.000     0.471
   176.800   125.921    90.000     0.476
   177.053   126.281    91.000     0.482
   177.310   126.640    92.000     0.487
   177.571   127.001    93.000     0.493
   177.835   127.361    94.000     0.498
   178.102   127.722    95.000     0.504
   178.373   128.083    96.000     0.509
   178.648   128.445    97.000     0.515
   178.925   128.807    98.000     0.521
   179.207   129.169    99.000     0.526
   179.491   129.532   100.000     0.532
   179.779   129.894   101.000     0.537
............................. Reached Chronic Mixing Zone ..........................
   180.070   130.258   102.000     0.543
   180.364   130.621   103.000     0.548
   180.661   130.985   104.000     0.554
   180.961   131.349   105.000     0.559
   181.264   131.713   106.000     0.565
   181.570   132.078   107.000     0.570
   181.879   132.443   108.000     0.576
   182.190   132.809   109.000     0.581
   182.505   133.174   110.000     0.587
   182.822   133.540   111.000     0.592
   183.142   133.907   112.000     0.598
   183.465   134.273   113.000     0.603
   183.790   134.641   114.000     0.609
   184.118   135.008   115.000     0.615
   184.449   135.375   116.000     0.620
   184.782   135.743   117.000     0.626
   185.117   136.112   118.000     0.631
   185.455   136.480   119.000     0.637
   185.796   136.849   120.000     0.642
   186.138   137.218   121.000     0.648
   186.483   137.588   122.000     0.653
   186.831   137.958   123.000     0.659
   187.180   138.328   124.000     0.664
   187.532   138.699   125.000     0.670
   187.886   139.070   126.000     0.675
   188.242   139.441   127.000     0.681
   188.600   139.812   128.000     0.686
   188.961   140.184   129.000     0.692
   189.323   140.556   130.000     0.697
   189.688   140.929   131.000     0.703
   190.054   141.301   132.000     0.708
   190.423   141.674   133.000     0.714
   190.793   142.048   134.000     0.719
   191.166   142.422   135.000     0.725
   191.540   142.796   136.000     0.731
   191.916   143.170   137.000     0.736
   192.294   143.545   138.000     0.742
   192.674   143.920   139.000     0.747
   193.056   144.295   140.000     0.753
   193.439   144.671   141.000     0.758
   193.824   145.047   142.000     0.764
   194.211   145.423   143.000     0.769
   194.600   145.800   144.000     0.775
   194.990   146.176   145.000     0.780
   195.382   146.554   146.000     0.786
   195.776   146.931   147.000     0.791
   196.171   147.309   148.000     0.797
   196.568   147.687   149.000     0.802
   196.966   148.066   150.000     0.808
   197.366   148.445   151.000     0.813
   197.767   148.824   152.000     0.819
   198.170   149.203   153.000     0.824
   198.575   149.583   154.000     0.830
   198.981   149.963   155.000     0.835
   199.388   150.344   156.000     0.841
   199.797   150.724   157.000     0.847
   200.207   151.105   158.000     0.852
   200.619   151.487   159.000     0.858
   201.032   151.869   160.000     0.863
   201.447   152.251   161.000     0.869
   201.862   152.633   162.000     0.874
   202.280   153.015   163.000     0.880
   202.698   153.398   164.000     0.885
   203.118   153.782   165.000     0.891
   203.539   154.165   166.000     0.896
   203.961   154.549   167.000     0.902
   204.385   154.933   168.000     0.907
   204.810   155.318   169.000     0.913
   205.236   155.703   170.000     0.918
   205.664   156.088   171.000     0.924
   206.092   156.473   172.000     0.929
   206.522   156.859   173.000     0.935
   206.953   157.245   174.000     0.940
   207.385   157.632   175.000     0.946
   207.818   158.019   176.000     0.951
   208.253   158.406   177.000     0.957
   208.689   158.793   178.000     0.962
   209.125   159.181   179.000     0.968
   209.563   159.569   180.000     0.974
   210.002   159.957   181.000     0.979
   210.442   160.346   182.000     0.985
   210.883   160.734   183.000     0.990
   211.326   161.124   184.000     0.996
   211.769   161.513   185.000     1.001
   212.213   161.903   186.000     1.007
   212.659   162.293   187.000     1.012
   213.105   162.684   188.000     1.018
   213.552   163.075   189.000     1.023
   214.001   163.466   190.000     1.029
   214.450   163.857   191.000     1.034
   214.901   164.249   192.000     1.040
   215.352   164.641   193.000     1.045
   215.804   165.033   194.000     1.051
   216.258   165.426   195.000     1.056
   216.712   165.819   196.000     1.062
   217.167   166.212   197.000     1.067
   217.624   166.606   198.000     1.073
   218.081   167.000   199.000     1.078
   218.539   167.394   200.000     1.084
   218.998   167.788   201.000     1.089
   219.458   168.183   202.000     1.095
   219.918   168.578   203.000     1.101
   220.380   168.974   204.000     1.106
   220.843   169.370   205.000     1.112
   221.306   169.766   206.000     1.117
   221.770   170.162   207.000     1.123
   222.235   170.559   208.000     1.128
   222.701   170.956   209.000     1.134
   223.168   171.353   210.000     1.139
   223.636   171.751   211.000     1.145
   224.105   172.149   212.000     1.150
   224.574   172.547   213.000     1.156
   225.044   172.946   214.000     1.161
   225.515   173.344   215.000     1.167
   225.987   173.744   216.000     1.172
   226.460   174.143   217.000     1.178
   226.933   174.543   218.000     1.183
   227.407   174.943   219.000     1.189
   227.882   175.343   220.000     1.194
   228.358   175.744   221.000     1.200
   228.835   176.145   222.000     1.205
   229.312   176.546   223.000     1.211
   229.790   176.948   224.000     1.216
   230.269   177.350   225.000     1.222
   230.749   177.752   226.000     1.228
   231.229   178.154   227.000     1.233
   231.710   178.557   228.000     1.239
   232.192   178.960   229.000     1.244
   232.675   179.364   230.000     1.250
   233.158   179.768   231.000     1.255
   233.642   180.172   232.000     1.261
   234.127   180.576   233.000     1.266
   234.612   180.981   234.000     1.272
   235.099   181.385   235.000     1.277
   235.586   181.791   236.000     1.283
   236.073   182.196   237.000     1.288
   236.562   182.602   238.000     1.294
   237.051   183.008   239.000     1.299
   237.540   183.415   240.000     1.305
   238.031   183.822   241.000     1.310
   238.522   184.229   242.000     1.316
   239.013   184.636   243.000     1.321
   239.506   185.044   244.000     1.327
   239.999   185.452   245.000     1.332
   240.493   185.860   246.000     1.338
   240.987   186.268   247.000     1.343
   241.482   186.677   248.000     1.349
   241.978   187.086   249.000     1.355
   242.474   187.496   250.000     1.360
   242.971   187.906   251.000     1.366
   243.469   188.316   252.000     1.371
   243.967   188.726   253.000     1.377
   244.466   189.137   254.000     1.382
   244.966   189.548   255.000     1.388
   245.466   189.959   256.000     1.393
   245.967   190.371   257.000     1.399
   246.468   190.782   258.000     1.404
   246.970   191.195   259.000     1.410
   247.473   191.607   260.000     1.415
   247.976   192.020   261.000     1.421
   248.480   192.433   262.000     1.426
   248.984   192.846   263.000     1.432
   249.489   193.260   264.000     1.437
   249.995   193.674   265.000     1.443
   250.501   194.088   266.000     1.448
   251.008   194.503   267.000     1.454
   251.516   194.917   268.000     1.459
   252.024   195.333   269.000     1.465
   252.532   195.748   270.000     1.471
   253.042   196.164   271.000     1.476
   253.552   196.580   272.000     1.482
   254.062   196.996   273.000     1.487
   254.573   197.413   274.000     1.493
   255.084   197.830   275.000     1.498
   255.597   198.247   276.000     1.504
   256.109   198.664   277.000     1.509
   256.623   199.082   278.000     1.515
   257.136   199.500   279.000     1.520
   257.651   199.919   280.000     1.526
   258.166   200.337   281.000     1.531
   258.681   200.756   282.000     1.537
   259.197   201.175   283.000     1.542
   259.714   201.595   284.000     1.548
   260.231   202.015   285.000     1.553
   260.749   202.435   286.000     1.559
   261.267   202.855   287.000     1.564
   261.786   203.276   288.000     1.570
   262.305   203.697   289.000     1.575
   262.825   204.119   290.000     1.581
   263.345   204.540   291.000     1.586
   263.866   204.962   292.000     1.592
   264.387   205.384   293.000     1.598
   264.909   205.807   294.000     1.603
   265.432   206.229   295.000     1.609
   265.955   206.653   296.000     1.614
   266.478   207.076   297.000     1.620
   267.003   207.500   298.000     1.625
   267.527   207.924   299.000     1.631
   268.052   208.348   300.000     1.636
   268.578   208.772   301.000     1.642
   269.104   209.197   302.000     1.647
   269.631   209.622   303.000     1.653
   270.158   210.048   304.000     1.658
   270.685   210.473   305.000     1.664
   271.214   210.899   306.000     1.669
   271.742   211.325   307.000     1.675
   272.271   211.752   308.000     1.680
   272.801   212.179   309.000     1.686
   273.331   212.606   310.000     1.691
   273.862   213.033   311.000     1.697
   274.393   213.461   312.000     1.702
   274.925   213.889   313.000     1.708
   275.457   214.317   314.000     1.714
   275.990   214.746   315.000     1.719
   276.523   215.175   316.000     1.725
   277.056   215.604   317.000     1.730
   277.591   216.033   318.000     1.736
   278.125   216.463   319.000     1.741
   278.660   216.893   320.000     1.747
   279.196   217.323   321.000     1.752
   279.732   217.754   322.000     1.758
   280.268   218.185   323.000     1.763
   280.805   218.616   324.000     1.769
   281.343   219.047   325.000     1.774
   281.881   219.479   326.000     1.780
   282.419   219.911   327.000     1.785
   282.958   220.343   328.000     1.791
   283.498   220.776   329.000     1.796
   284.037   221.209   330.000     1.802
   284.578   221.642   331.000     1.807
   285.118   222.075   332.000     1.813
   285.660   222.509   333.000     1.818
   286.201   222.943   334.000     1.824
   286.744   223.377   335.000     1.830
   287.286   223.812   336.000     1.835
   287.829   224.247   337.000     1.841
   288.373   224.682   338.000     1.846
   288.917   225.117   339.000     1.852
   289.461   225.553   340.000     1.857
   290.006   225.989   341.000     1.863
   290.552   226.425   342.000     1.868
