****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth
      Step (FluxAvg)       (m)       (m)       (m)       (m)
        40     2.178     0.164     0.133     0.076   -10.848
        41     2.221     0.167     0.138     0.078   -10.843
        42     2.265     0.171     0.142     0.081   -10.837
        43     2.310     0.174     0.148     0.084   -10.831
        44     2.355     0.177     0.153     0.087   -10.826
        45     2.402     0.181     0.158     0.090   -10.820
        46     2.450     0.184     0.163     0.093   -10.814
        47     2.498     0.188     0.169     0.096   -10.808
        48     2.548     0.192     0.174     0.099   -10.801
        49     2.598     0.195     0.180     0.102   -10.795
        50     2.650     0.199     0.185     0.105   -10.789
        51     2.702     0.203     0.191     0.109   -10.782
        52     2.756     0.207     0.197     0.112   -10.775
        53     2.810     0.211     0.203     0.115   -10.768
        54     2.866     0.215     0.209     0.119   -10.761
        55     2.923     0.220     0.216     0.122   -10.754
        56     2.981     0.224     0.222     0.126   -10.747
        57     3.040     0.228     0.229     0.129   -10.740
        58     3.100     0.233     0.235     0.133   -10.732
        59     3.162     0.237     0.242     0.137   -10.725
        60     3.225     0.242     0.249     0.141   -10.717
        61     3.289     0.247     0.256     0.145   -10.709
        62     3.354     0.251     0.263     0.148   -10.701
        63     3.421     0.256     0.271     0.153   -10.693
        64     3.489     0.261     0.278     0.157   -10.684
        65     3.558     0.266     0.286     0.161   -10.676
        66     3.629     0.272     0.294     0.165   -10.667
        67     3.701     0.277     0.302     0.169   -10.658
        68     3.774     0.282     0.310     0.174   -10.649
        69     3.849     0.288     0.318     0.178   -10.640
        70     3.926     0.293     0.326     0.183   -10.631
        71     4.004     0.299     0.335     0.187   -10.621
        72     4.083     0.305     0.343     0.192   -10.612
        73     4.164     0.311     0.352     0.197   -10.602
        74     4.247     0.317     0.361     0.202   -10.592
        75     4.332     0.323     0.370     0.207   -10.582
        76     4.418     0.329     0.380     0.212   -10.571
        77     4.506     0.335     0.389     0.217   -10.561
        78     4.595     0.342     0.399     0.222   -10.550
        79     4.687     0.349     0.409     0.227   -10.539
        80     4.780     0.355     0.419     0.233   -10.528
        81     4.875     0.362     0.429     0.238   -10.517
        82     4.972     0.369     0.440     0.244   -10.505
        83     5.071     0.376     0.450     0.249   -10.493
        84     5.172     0.383     0.461     0.255   -10.481
        85     5.275     0.391     0.472     0.261   -10.469
        86     5.380     0.398     0.483     0.267   -10.457
        87     5.487     0.406     0.495     0.273   -10.444
        88     5.597     0.414     0.506     0.279   -10.431
        89     5.708     0.422     0.518     0.285   -10.418
        90     5.822     0.430     0.530     0.292   -10.405
        91     5.938     0.438     0.542     0.298   -10.392
        92     6.056     0.446     0.555     0.305   -10.378
        93     6.177     0.455     0.567     0.311   -10.364
        94     6.300     0.463     0.580     0.318   -10.350
        95     6.425     0.472     0.594     0.325   -10.335
        96     6.553     0.481     0.607     0.332   -10.320
        97     6.684     0.490     0.620     0.339   -10.305
        98     6.817     0.499     0.634     0.346   -10.290
        99     6.953     0.509     0.648     0.353   -10.275
       100     7.092     0.518     0.663     0.360   -10.259
       101     7.233     0.528     0.677     0.368   -10.243
       102     7.377     0.538     0.692     0.375   -10.226
       103     7.524     0.548     0.707     0.383   -10.210
       104     7.674     0.558     0.723     0.391   -10.193
       105     7.827     0.569     0.738     0.399   -10.176
       106     7.983     0.579     0.754     0.407   -10.158
       107     8.143     0.590     0.770     0.415   -10.140
       108     8.305     0.601     0.787     0.423   -10.122
       109     8.471     0.612     0.803     0.432   -10.104
       110     8.640     0.624     0.820     0.440   -10.085
       111     8.812     0.635     0.838     0.449   -10.066
       112     8.988     0.647     0.855     0.457   -10.047
       113     9.167     0.659     0.873     0.466   -10.027
       114     9.350     0.671     0.891     0.475   -10.007
       115     9.536     0.683     0.910     0.484    -9.987
       116     9.727     0.696     0.928     0.493    -9.966
       117     9.921     0.708     0.948     0.502    -9.945
       118    10.119     0.721     0.967     0.512    -9.923
       119    10.321     0.734     0.987     0.521    -9.902
       120    10.527     0.747     1.007     0.531    -9.879
       121    10.737     0.761     1.027     0.541    -9.857
       122    10.951     0.775     1.047     0.550    -9.834
       123    11.169     0.789     1.068     0.560    -9.811
       124    11.392     0.803     1.090     0.571    -9.787
       125    11.620     0.817     1.111     0.581    -9.763
       126    11.852     0.832     1.133     0.591    -9.738
       127    12.088     0.846     1.156     0.601    -9.713
       128    12.330     0.861     1.178     0.612    -9.688
       129    12.576     0.877     1.201     0.623    -9.662
       130    12.827     0.892     1.225     0.633    -9.636
       131    13.083     0.908     1.248     0.644    -9.609
       132    13.344     0.923     1.272     0.655    -9.582
       133    13.610     0.940     1.297     0.666    -9.555
       134    13.882     0.956     1.321     0.678    -9.527
       135    14.159     0.972     1.346     0.689    -9.499
       136    14.442     0.989     1.372     0.700    -9.470
       137    14.730     1.006     1.397     0.712    -9.441
       138    15.025     1.024     1.423     0.723    -9.411
       139    15.325     1.041     1.450     0.735    -9.381
       140    15.631     1.059     1.476     0.747    -9.351
       141    15.943     1.077     1.503     0.758    -9.320
       142    16.261     1.095     1.530     0.770    -9.289
       143    16.586     1.114     1.558     0.782    -9.257
       144    16.917     1.132     1.586     0.794    -9.225
       145    17.255     1.151     1.614     0.806    -9.192
       146    17.600     1.170     1.642     0.818    -9.160
       147    17.951     1.190     1.671     0.830    -9.126
       148    18.310     1.210     1.700     0.843    -9.092
       149    18.676     1.230     1.729     0.855    -9.058
       150    19.049     1.250     1.758     0.867    -9.024
       151    19.429     1.270     1.788     0.880    -8.989
       152    19.817     1.291     1.818     0.892    -8.953
       153    20.213     1.312     1.849     0.904    -8.917
       154    20.617     1.334     1.879     0.917    -8.881
       155    21.029     1.355     1.910     0.929    -8.844
       156    21.449     1.377     1.942     0.942    -8.807
       157    21.877     1.399     1.973     0.954    -8.769
       158    22.315     1.422     2.005     0.967    -8.731
       159    22.760     1.444     2.037     0.979    -8.693
       160    23.215     1.467     2.069     0.992    -8.654
       161    23.679     1.490     2.102     1.005    -8.615
       162    24.152     1.514     2.135     1.017    -8.575
       163    24.635     1.538     2.168     1.030    -8.535
       164    25.127     1.562     2.201     1.042    -8.494
       165    25.629     1.586     2.235     1.055    -8.453
       166    26.141     1.611     2.269     1.068    -8.411
       167    26.663     1.636     2.303     1.080    -8.369
       168    27.196     1.661     2.337     1.093    -8.327
       169    27.740     1.687     2.372     1.106    -8.284
       170    28.294     1.713     2.407     1.118    -8.241
       171    28.859     1.739     2.442     1.131    -8.197
       172    29.436     1.765     2.478     1.144    -8.153
       173    30.024     1.792     2.513     1.156    -8.108
       174    30.624     1.819     2.549     1.169    -8.063
       175    31.236     1.847     2.586     1.181    -8.017
       176    31.861     1.874     2.622     1.194    -7.971
       177    32.497     1.902     2.659     1.206    -7.925
       178    33.147     1.931     2.696     1.219    -7.878
       179    33.809     1.959     2.733     1.231    -7.830
       180    34.485     1.988     2.771     1.244    -7.782
       181    35.174     2.018     2.809     1.256    -7.734
       182    35.877     2.048     2.847     1.269    -7.685
       183    36.594     2.078     2.885     1.281    -7.636
       184    37.326     2.108     2.924     1.294    -7.586
       185    38.072     2.139     2.963     1.306    -7.536
       186    38.833     2.170     3.002     1.318    -7.485
       187    39.609     2.201     3.042     1.330    -7.434
       188    40.401     2.233     3.082     1.343    -7.383
       189    41.208     2.265     3.122     1.355    -7.330
       190    42.032     2.298     3.162     1.367    -7.278
       191    42.872     2.331     3.203     1.379    -7.225
       192    43.729     2.364     3.244     1.391    -7.171
       193    44.603     2.398     3.285     1.403    -7.117
       194    45.495     2.432     3.327     1.415    -7.063
       195    46.404     2.466     3.369     1.427    -7.008
       196    47.332     2.501     3.411     1.439    -6.953
       197    48.278     2.536     3.453     1.451    -6.897
       198    49.243     2.572     3.496     1.462    -6.840
       199    50.228     2.607     3.539     1.474    -6.783
       200    51.232     2.644     3.583     1.486    -6.726
       201    52.256     2.681     3.626     1.498    -6.668
       202    53.301     2.718     3.670     1.509    -6.610
       203    54.366     2.755     3.715     1.521    -6.551
       204    55.453     2.794     3.759     1.532    -6.492
       205    56.562     2.832     3.805     1.544    -6.432
       206    57.692     2.871     3.850     1.555    -6.372
       207    58.846     2.910     3.896     1.566    -6.311
       208    60.022     2.950     3.942     1.578    -6.250
       209    61.222     2.990     3.988     1.589    -6.188
       210    62.446     3.031     4.035     1.600    -6.126
       211    63.695     3.072     4.082     1.611    -6.063
       212    64.968     3.114     4.130     1.622    -6.000
       213    66.267     3.156     4.178     1.633    -5.936
       214    67.592     3.198     4.226     1.644    -5.872
       215    68.943     3.241     4.275     1.655    -5.807
       216    70.322     3.285     4.324     1.666    -5.742
       217    71.728     3.329     4.374     1.676    -5.676
       218    73.162     3.373     4.423     1.687    -5.610
       219    74.625     3.418     4.474     1.698    -5.543
       220    76.117     3.463     4.525     1.708    -5.475
       221    77.638     3.509     4.576     1.719    -5.408
       222    79.191     3.556     4.627     1.729    -5.339
       223    80.774     3.603     4.679     1.740    -5.271
       224    82.389     3.650     4.732     1.750    -5.201
       225    84.036     3.698     4.785     1.760    -5.132
       226    85.717     3.747     4.838     1.770    -5.061
       227    87.431     3.796     4.892     1.781    -4.990
       228    89.179     3.846     4.947     1.791    -4.919
       229    90.962     3.896     5.001     1.801    -4.847
       230    92.781     3.947     5.057     1.811    -4.775
       231    94.636     3.998     5.113     1.821    -4.702
       232    96.528     4.050     5.169     1.830    -4.629
       233    98.458     4.102     5.226     1.840    -4.555
       234   100.427     4.155     5.283     1.850    -4.480
       235   102.435     4.209     5.341     1.860    -4.406
       236   104.483     4.263     5.399     1.869    -4.330
       237   106.572     4.318     5.458     1.879    -4.254
       238   108.703     4.373     5.518     1.888    -4.178
       239   110.877     4.429     5.578     1.898    -4.101
       240   113.094     4.486     5.639     1.907    -4.024
       241   115.355     4.543     5.700     1.916    -3.946
       242   117.662     4.601     5.762     1.925    -3.867
       243   120.015     4.660     5.824     1.934    -3.789
       244   122.415     4.720     5.886     1.943    -3.710
       245   124.863     4.784     5.949     1.952    -3.632
       246   127.360     4.850     6.012     1.961    -3.555
       247   129.907     4.920     6.074     1.970    -3.479
       248   132.505     4.993     6.137     1.978    -3.404
       249   135.155     5.069     6.199     1.986    -3.330
       250   137.648     5.144     6.256     1.994    -3.263
---------------------------- Plume traps -----------------------------
       251   139.931     5.216     6.307     2.000    -3.205
       252   142.017     5.283     6.352     2.006    -3.154
       253   143.952     5.346     6.393     2.011    -3.108
       254   145.770     5.405     6.431     2.016    -3.067
       255   147.499     5.462     6.466     2.020    -3.029
       256   149.157     5.517     6.500     2.024    -2.993
       257   150.757     5.571     6.532     2.028    -2.960
------------------------- merging happened ---------------------------
       258   152.306     5.623     6.562     2.031    -2.928
       259   153.668     5.672     6.591     2.035    -2.899
       260   155.017     5.722     6.621     2.038    -2.869
       261   156.331     5.774     6.651     2.042    -2.839
       262   157.626     5.828     6.680     2.045    -2.811
       263   158.845     5.881     6.708     2.048    -2.784
       264   160.015     5.935     6.736     2.051    -2.758
       265   161.123     5.987     6.763     2.055    -2.732
       266   162.186     6.039     6.790     2.058    -2.707
       267   163.197     6.091     6.816     2.060    -2.683
       268   164.164     6.142     6.843     2.063    -2.659
       269   165.084     6.193     6.869     2.066    -2.637
       270   165.961     6.243     6.894     2.069    -2.614
       271   166.796     6.292     6.920     2.072    -2.593
       272   167.592     6.340     6.945     2.074    -2.571
       273   168.349     6.388     6.969     2.077    -2.551
       274   169.069     6.435     6.993     2.080    -2.531
---------------------------- Plume surfaces --------------------------
       275   169.754     6.481     7.017     2.082    -2.512
-------------------- Starting Farfield Calculations --------------------
Farfield dispersion based on wastefield width of :     109.59 (m)
4/3 Power Law based Eddy Diffusivity is used:
  Dilution     Width  Distance      Time
        ()       (m)       (m)    (hrs.)
   169.754   109.610     7.320     0.000
   169.754   109.850     8.000     0.004
   169.754   110.204     9.000     0.010
   169.754   110.558    10.000     0.016
   169.754   110.913    11.000     0.021
   169.754   111.268    12.000     0.027
   169.754   111.618    13.000     0.033
   169.754   111.969    14.000     0.038
   169.754   112.320    15.000     0.044
   169.754   112.671    16.000     0.049
   169.754   113.023    17.000     0.055
   169.754   113.373    18.000     0.061
   169.754   113.724    19.000     0.066
   169.754   114.075    20.000     0.072
   169.754   114.426    21.000     0.077
   169.754   114.778    22.000     0.083
   169.754   115.129    23.000     0.089
   169.754   115.481    24.000     0.094
   169.754   115.833    25.000     0.100
   169.754   116.186    26.000     0.105
   169.755   116.538    27.000     0.111
   169.755   116.891    28.000     0.116
   169.755   117.244    29.000     0.122
   169.756   117.598    30.000     0.128
   169.757   117.952    31.000     0.133
   169.758   118.306    32.000     0.139
   169.759   118.660    33.000     0.144
   169.762   119.015    34.000     0.150
   169.765   119.370    35.000     0.155
   169.768   119.725    36.000     0.161
   169.773   120.081    37.000     0.167
   169.779   120.436    38.000     0.172
   169.786   120.793    39.000     0.178
   169.795   121.149    40.000     0.183
   169.805   121.506    41.000     0.189
   169.817   121.863    42.000     0.194
   169.831   122.221    43.000     0.200
   169.847   122.578    44.000     0.205
   169.866   122.937    45.000     0.211
   169.887   123.295    46.000     0.217
   169.910   123.654    47.000     0.222
   169.937   124.013    48.000     0.228
   169.966   124.372    49.000     0.233
   169.999   124.732    50.000     0.239
   170.035   125.092    51.000     0.244
   170.074   125.452    52.000     0.250
   170.116   125.813    53.000     0.255
   170.162   126.174    54.000     0.261
   170.212   126.535    55.000     0.267
   170.266   126.897    56.000     0.272
   170.323   127.258    57.000     0.278
   170.385   127.621    58.000     0.283
   170.450   127.983    59.000     0.289
   170.520   128.346    60.000     0.294
   170.593   128.709    61.000     0.300
   170.671   129.072    62.000     0.305
   170.753   129.436    63.000     0.311
   170.839   129.800    64.000     0.317
   170.930   130.165    65.000     0.322
   171.024   130.529    66.000     0.328
   171.123   130.894    67.000     0.333
   171.227   131.259    68.000     0.339
   171.334   131.625    69.000     0.344
   171.446   131.991    70.000     0.350
   171.562   132.357    71.000     0.355
   171.682   132.724    72.000     0.361
   171.807   133.090    73.000     0.366
   171.936   133.457    74.000     0.372
   172.069   133.825    75.000     0.378
   172.207   134.193    76.000     0.383
   172.348   134.561    77.000     0.389
   172.494   134.929    78.000     0.394
   172.644   135.298    79.000     0.400
   172.798   135.667    80.000     0.405
   172.956   136.036    81.000     0.411
   173.117   136.405    82.000     0.416
   173.283   136.775    83.000     0.422
   173.453   137.145    84.000     0.427
   173.627   137.516    85.000     0.433
   173.805   137.887    86.000     0.439
   173.986   138.258    87.000     0.444
   174.171   138.629    88.000     0.450
   174.360   139.001    89.000     0.455
   174.553   139.373    90.000     0.461
   174.749   139.745    91.000     0.466
   174.949   140.118    92.000     0.472
   175.153   140.491    93.000     0.477
   175.360   140.864    94.000     0.483
   175.570   141.238    95.000     0.488
   175.784   141.612    96.000     0.494
   176.001   141.986    97.000     0.499
   176.222   142.360    98.000     0.505
   176.445   142.735    99.000     0.511
   176.673   143.110   100.000     0.516
   176.903   143.486   101.000     0.522
............................. Reached Chronic Mixing Zone ..........................
   177.136   143.861   102.000     0.527
   177.373   144.237   103.000     0.533
   177.612   144.614   104.000     0.538
   177.855   144.990   105.000     0.544
   178.101   145.367   106.000     0.549
   178.349   145.745   107.000     0.555
   178.601   146.122   108.000     0.560
   178.855   146.500   109.000     0.566
   179.112   146.878   110.000     0.571
   179.372   147.257   111.000     0.577
   179.635   147.636   112.000     0.582
   179.900   148.015   113.000     0.588
   180.168   148.394   114.000     0.594
   180.438   148.774   115.000     0.599
   180.712   149.154   116.000     0.605
   180.987   149.534   117.000     0.610
   181.266   149.915   118.000     0.616
   181.546   150.296   119.000     0.621
   181.830   150.677   120.000     0.627
   182.115   151.059   121.000     0.632
   182.403   151.441   122.000     0.638
   182.693   151.823   123.000     0.643
   182.986   152.205   124.000     0.649
   183.281   152.588   125.000     0.654
   183.578   152.971   126.000     0.660
   183.877   153.355   127.000     0.665
   184.179   153.738   128.000     0.671
   184.482   154.122   129.000     0.677
   184.788   154.507   130.000     0.682
   185.096   154.892   131.000     0.688
   185.406   155.276   132.000     0.693
   185.718   155.662   133.000     0.699
   186.032   156.047   134.000     0.704
   186.347   156.433   135.000     0.710
   186.665   156.819   136.000     0.715
   186.985   157.206   137.000     0.721
   187.307   157.593   138.000     0.726
   187.630   157.980   139.000     0.732
   187.956   158.367   140.000     0.737
   188.283   158.755   141.000     0.743
   188.612   159.143   142.000     0.748
   188.942   159.532   143.000     0.754
   189.275   159.920   144.000     0.759
   189.609   160.309   145.000     0.765
   189.945   160.699   146.000     0.770
   190.283   161.088   147.000     0.776
   190.622   161.478   148.000     0.782
   190.963   161.868   149.000     0.787
   191.305   162.259   150.000     0.793
   191.649   162.650   151.000     0.798
   191.995   163.041   152.000     0.804
   192.342   163.432   153.000     0.809
   192.691   163.824   154.000     0.815
   193.041   164.216   155.000     0.820
   193.393   164.608   156.000     0.826
   193.746   165.001   157.000     0.831
   194.101   165.394   158.000     0.837
   194.457   165.787   159.000     0.842
   194.815   166.181   160.000     0.848
   195.174   166.575   161.000     0.853
   195.534   166.969   162.000     0.859
   195.896   167.363   163.000     0.864
   196.259   167.758   164.000     0.870
   196.623   168.153   165.000     0.875
   196.989   168.549   166.000     0.881
   197.356   168.945   167.000     0.887
   197.724   169.341   168.000     0.892
   198.094   169.737   169.000     0.898
   198.465   170.134   170.000     0.903
   198.837   170.531   171.000     0.909
   199.210   170.928   172.000     0.914
   199.585   171.325   173.000     0.920
   199.961   171.723   174.000     0.925
   200.338   172.121   175.000     0.931
   200.716   172.520   176.000     0.936
   201.095   172.919   177.000     0.942
   201.476   173.318   178.000     0.947
   201.858   173.717   179.000     0.953
   202.240   174.117   180.000     0.958
   202.624   174.517   181.000     0.964
   203.009   174.917   182.000     0.969
   203.396   175.318   183.000     0.975
   203.783   175.718   184.000     0.980
   204.171   176.120   185.000     0.986
   204.560   176.521   186.000     0.992
   204.951   176.923   187.000     0.997
   205.342   177.325   188.000     1.003
   205.735   177.728   189.000     1.008
   206.128   178.130   190.000     1.014
   206.523   178.533   191.000     1.019
   206.918   178.937   192.000     1.025
   207.315   179.340   193.000     1.030
   207.712   179.744   194.000     1.036
   208.111   180.148   195.000     1.041
   208.510   180.553   196.000     1.047
   208.911   180.958   197.000     1.052
   209.312   181.363   198.000     1.058
   209.714   181.768   199.000     1.063
   210.117   182.174   200.000     1.069
   210.521   182.580   201.000     1.074
   210.926   182.986   202.000     1.080
   211.332   183.393   203.000     1.085
   211.739   183.800   204.000     1.091
   212.147   184.207   205.000     1.096
   212.555   184.615   206.000     1.102
   212.965   185.022   207.000     1.108
   213.375   185.430   208.000     1.113
   213.786   185.839   209.000     1.119
   214.198   186.248   210.000     1.124
   214.611   186.657   211.000     1.130
   215.025   187.066   212.000     1.135
   215.439   187.476   213.000     1.141
   215.855   187.885   214.000     1.146
   216.271   188.296   215.000     1.152
   216.688   188.706   216.000     1.157
   217.106   189.117   217.000     1.163
   217.524   189.528   218.000     1.168
   217.943   189.940   219.000     1.174
   218.364   190.351   220.000     1.179
   218.784   190.763   221.000     1.185
   219.206   191.175   222.000     1.190
   219.629   191.588   223.000     1.196
   220.052   192.001   224.000     1.201
   220.476   192.414   225.000     1.207
   220.900   192.828   226.000     1.212
   221.326   193.241   227.000     1.218
   221.752   193.655   228.000     1.224
   222.179   194.070   229.000     1.229
   222.606   194.484   230.000     1.235
   223.035   194.899   231.000     1.240
   223.464   195.315   232.000     1.246
   223.893   195.730   233.000     1.251
   224.324   196.146   234.000     1.257
   224.755   196.562   235.000     1.262
   225.187   196.979   236.000     1.268
   225.619   197.395   237.000     1.273
   226.052   197.812   238.000     1.279
   226.486   198.230   239.000     1.284
   226.921   198.647   240.000     1.290
   227.356   199.065   241.000     1.295
   227.792   199.483   242.000     1.301
   228.228   199.902   243.000     1.306
   228.666   200.321   244.000     1.312
   229.103   200.740   245.000     1.317
   229.542   201.159   246.000     1.323
   229.981   201.579   247.000     1.329
   230.421   201.999   248.000     1.334
   230.861   202.419   249.000     1.340
   231.302   202.839   250.000     1.345
   231.744   203.260   251.000     1.351
   232.186   203.681   252.000     1.356
   232.629   204.103   253.000     1.362
   233.073   204.524   254.000     1.367
   233.517   204.946   255.000     1.373
   233.961   205.369   256.000     1.378
   234.407   205.791   257.000     1.384
   234.853   206.214   258.000     1.389
   235.299   206.637   259.000     1.395
   235.746   207.061   260.000     1.400
   236.194   207.484   261.000     1.406
   236.642   207.909   262.000     1.411
   237.091   208.333   263.000     1.417
   237.541   208.757   264.000     1.422
   237.991   209.182   265.000     1.428
   238.441   209.607   266.000     1.433
   238.892   210.033   267.000     1.439
   239.344   210.459   268.000     1.445
   239.796   210.885   269.000     1.450
   240.249   211.311   270.000     1.456
   240.703   211.738   271.000     1.461
   241.157   212.165   272.000     1.467
   241.611   212.592   273.000     1.472
   242.066   213.019   274.000     1.478
   242.522   213.447   275.000     1.483
   242.978   213.875   276.000     1.489
   243.435   214.303   277.000     1.494
   243.892   214.732   278.000     1.500
   244.350   215.161   279.000     1.505
   244.808   215.590   280.000     1.511
   245.267   216.020   281.000     1.516
   245.727   216.450   282.000     1.522
   246.186   216.880   283.000     1.527
   246.647   217.310   284.000     1.533
   247.108   217.741   285.000     1.538
   247.569   218.172   286.000     1.544
   248.031   218.603   287.000     1.549
   248.494   219.034   288.000     1.555
   248.957   219.466   289.000     1.561
   249.420   219.898   290.000     1.566
   249.884   220.330   291.000     1.572
   250.349   220.763   292.000     1.577
   250.814   221.196   293.000     1.583
   251.279   221.629   294.000     1.588
   251.745   222.063   295.000     1.594
   252.212   222.496   296.000     1.599
   252.679   222.931   297.000     1.605
   253.146   223.365   298.000     1.610
   253.614   223.799   299.000     1.616
   254.083   224.234   300.000     1.621
   254.552   224.670   301.000     1.627
   255.021   225.105   302.000     1.632
   255.491   225.541   303.000     1.638
   255.962   225.977   304.000     1.643
   256.433   226.413   305.000     1.649
   256.904   226.850   306.000     1.654
   257.376   227.287   307.000     1.660
   257.848   227.724   308.000     1.666
   258.321   228.161   309.000     1.671
   258.794   228.599   310.000     1.677
   259.268   229.037   311.000     1.682
   259.742   229.475   312.000     1.688
   260.216   229.914   313.000     1.693
   260.692   230.353   314.000     1.699
   261.167   230.792   315.000     1.704
   261.643   231.231   316.000     1.710
   262.120   231.671   317.000     1.715
   262.596   232.111   318.000     1.721
   263.074   232.551   319.000     1.726
   263.552   232.992   320.000     1.732
   264.030   233.433   321.000     1.737
   264.509   233.874   322.000     1.743
   264.988   234.315   323.000     1.748
   265.467   234.757   324.000     1.754
   265.947   235.199   325.000     1.759
   266.428   235.641   326.000     1.765
   266.909   236.083   327.000     1.771
   267.390   236.526   328.000     1.776
   267.872   236.969   329.000     1.782
   268.354   237.412   330.000     1.787
   268.837   237.856   331.000     1.793
   269.320   238.300   332.000     1.798
   269.803   238.744   333.000     1.804
   270.287   239.189   334.000     1.809
   270.772   239.633   335.000     1.815
   271.256   240.078   336.000     1.820
   271.742   240.524   337.000     1.826
   272.227   240.969   338.000     1.831
   272.713   241.415   339.000     1.837
   273.200   241.861   340.000     1.842
   273.687   242.307   341.000     1.848
   274.174   242.754   342.000     1.853
